Input,Analysis,Overall Valence,Overall Arousal
I think Eric is happy that he won; but dissapointed that it was not for a higher value.  He landed on the section that was the cheapest; but he also had the least amount of chance to land on that amount.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Again; he may be excited about the $50. However; he may have wanted to get the $90. However; it's more than the other option; which was $20.,"{'excited': [7.5, 7.67, ['excited'], 1]}",7.5,7.67
George is happy for winning the second highest prize.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Happy for the money but pretty upset that there was more than 50% chance of winning 40 dollars more and  he didn't get it.,"{'sad': [3.0, 6.86, ['a little upset'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.61,6.86
Content,"{'content': [7.06, 4.7, ['content'], 1]}",7.06,4.7
I think Eric feels distressed to realize although he held the highest chance of winning the highest amount of money; the pointer landed within the smallest portion of the wheel. He probably feels very unlucky.,"{'unfortunate': [1.0, 3.0, ['very unlucky'], 1], 'sad': [1.94, 6.4, ['distressed'], 1]}",1.47,6.4
He made a middle gain. woohoo's alll over for him. 90 is better though.,{},0,0
Scott has won a prize he is happy and overjoyed,"{'excited': [8.66, 6.92, ['overjoyed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",8.44,6.92
Josh is happy with his win of $50.  But he can't feel a little bummed with the fact that he had over a 50% chance to win $90 and didn't.  He takes heart in the fact that at least he didn't end up with the $20.,"{'sad': [3.39, 5.78, ['a little bummed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.81,6.49
Slightly disappointed.,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1]}",3.39,5.92
Upset that he did not win the $90 since it was the largest section by far but happy that he did not land on $20. He probably feels pretty neutral,"{'content': [6.0, 5.7, ['a little neutral'], 1], 'happy': [8.22, 6.49, ['happy'], 1], 'sad': [2.0, 5.86, ['upset'], 1]}",5.41,6.49
Good because he landed on the smallest space but won the middle amount.,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
Pretty let down. The largest sized portion was $90; so he was hoping to win that.,"{'inspired': [7.1, 5.78, ['hoping'], 1], 'sad': [3.13, 6.07, ['a little down'], 1]}",5.12,6.07
Disappointed.  It was so close to landing on the big amount but stopped just short; so that would be disappointing.  However; he did get the middle amount so it wasn't a complete disappointment.,"{'disappointed': [2.39, 4.92, ['disappointed', 'disappointing'], 2]}",2.39,4.92
Chris is pretty happy to win the $50 as that section was the smallest and the section just larger was only$20; although if the wheel would have landed on the largest which was half of the wheel section it would have been $90!,"{'happy': [7.22, 5.49, ['a little happy'], 1]}",7.22,5.49
He would feel good about it because it was not the lowest payout although it was the smallest section.,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
Upset seeming as he had a 50% chance of winning $90,"{'sad': [2.0, 5.86, ['upset'], 1]}",2.0,5.86
He probably feels a little aggravated. He had over a 50% chance of getting $90; but instead he only got $50.,{},0,0
I would think he would be happy since he could have done much worse.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
he gets happy as he got more than expected,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
John is satisfied with his win. $50 is a pretty good chunk of change.,"{'content': [7.94, 4.95, ['satisfied'], 1], 'happy': [6.47, 4.43, ['a little good'], 1]}",7.21,4.94
Scott was probably slightly upset he didn't win the $90.  it had the greatest odds; but still better than the $20.,"{'sad': [3.0, 6.86, ['a little upset'], 1]}",3.0,6.86
Charlie is happy but probably a bit disappointed with winning $50.  He could have won less; but he also had a big chance to win the $90.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.31,6.49
John is happy that he got $50 instead of the equally likely $20; but disappointed that he didn't get the far more likely $90.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.31,6.49
He probably felt great about winning the highest amount.,"{'great': [8.5, 8.5, ['great'], 1]}",8.5,8.5
He felt excited very happy he just won 90.00 for free off a game show. Hes a winner,"{'excited': [7.5, 7.67, ['excited'], 1], 'happy': [9.22, 7.49, ['very happy'], 1]}",8.36,7.67
he probably feels great. He just won $90. That's probably more than anyone else will win,"{'great': [8.5, 8.5, ['great'], 1]}",8.5,8.5
He's extremely excited! The wheel has a better chance of winning the larger amount. He can't wait to go spend it.,"{'excited': [8.5, 8.67, ['very excited'], 1]}",8.5,8.67
Jacob feels great; he won the maximum amount of $90.,"{'great': [8.5, 8.5, ['great'], 1]}",8.5,8.5
Great! $90 was the best case scenario. He's happy. ,"{'great': [8.5, 8.5, ['great'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",8.36,8.5
Mike is probably quite happy. He's probably relieved he didn't get only $20; but not too surprised at the outcome since 90 takes up half the wheel.,"{'fortunate': [7.09, 5.16, ['relieved'], 1], 'surprised': [4.61, 4.61, ['not very surprised'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",6.64,6.49
Pretty happy,"{'happy': [7.22, 5.49, ['a little happy'], 1]}",7.22,5.49
I think he would be really happy. He has just won the maximum prize.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
good; not great.  The $90 took up half the wheel so he thinks it was a given he would win it.,"{'great': [3.3, 3.3, ['not great'], 1], 'happy': [7.47, 5.43, ['good'], 1]}",5.39,5.43
I think Tom feels very good about winning the $90 prize.  It is the largest amount on the wheel and he had a 50/50 chance of landing on something else.,"{'happy': [8.47, 6.43, ['very good'], 1]}",8.47,6.43
Bob is very happy.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
He is very happy for the fact that he won the top prize but however he knows that the odds were in his favor so it is less satisfying.,"{'content': [7.94, 4.95, ['satisfying'], 1], 'happy': [9.22, 7.49, ['very happy'], 1]}",8.58,7.49
John is jumping up and down for joy winning the biggest amount you can win on the wheel. He is overly excited. ,"{'happy': [8.6, 7.22, ['joy'], 1], 'excited': [8.08, 7.3, ['jumping', 'excited'], 2], 'sad': [2.13, 5.07, ['down'], 1]}",6.73,7.67
Eric is in disbelief that he just won $90. Eric feels lucky.,"{'fortunate': [8.17, 6.53, ['lucky'], 1]}",8.17,6.53
He probably was expecting to win 90; because of the fact that half the wheel section is 90. He is probably relieved that it wasn't 20 or 50 but is also very happy that he won 90.,"{'happy': [9.22, 7.49, ['very happy'], 1], 'fortunate': [7.09, 5.16, ['relieved'], 1]}",8.15,7.49
He feels amazing. His chances of having a WAY lower prize was about 50% so winning the $90 is that much more special.,"{'great': [9.0, 6.0, ['amazing'], 1]}",9.0,6.0
he feels really great as he has won the max available,"{'great': [9.5, 9.5, ['very great'], 1]}",9.5,9.5
Steve feels ecstatic. He is leaving with $90 and should be very happy since it was the highest amount.,"{'excited': [8.66, 6.92, ['ecstatic'], 1], 'happy': [9.22, 7.49, ['very happy'], 1]}",8.94,7.49
Very happy; he won the highest amount.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Happy... that's the most he could have won. ,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
still winning whats the catch,{},0,0
Bob is ecstatic that he won the maximum amount of money from this spin. This wheel definitely favors the spinner.,"{'excited': [8.66, 6.92, ['ecstatic'], 1]}",8.66,6.92
Lady Luck is totally on his side! He's totally happy right now because he won $90!!!,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Excited. His win was probably expected.,"{'excited': [7.5, 7.67, ['excited'], 1]}",7.5,7.67
Frank probably knew he would win the $90 with the high odds..so he's feeling confident.,"{'confident': [7.98, 6.22, ['confident'], 1]}",7.98,6.22
James is happy that he won the highest payout of $90. He is content.,"{'content': [7.06, 4.7, ['content'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",7.64,6.49
I would think that he feels very lucky to have won the money.,"{'fortunate': [9.17, 7.53, ['very lucky'], 1]}",9.17,7.53
Bummed out.  He may feel cheated.,"{'unfortunate': [2.0, 4.0, ['cheated'], 1], 'sad': [2.39, 4.78, ['bummed'], 1]}",2.2,4.78
Dissappointed,"{'disappointed': [2.37, 4.99, ['dissappointed'], 1]}",2.37,4.988
The player will feel very disappointed when he sees the result. He would definitely have expected more; and it will leave him depressed if he leaves empty handed.,"{'disappointed': [1.39, 3.92, ['very disappointed'], 1], 'sad': [1.83, 4.72, ['depressed'], 1]}",1.61,4.72
I think he would be disappointed that he did not win any money. ,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
crummy. $0 is nothing. It also has the smallest portion in the wheel. The odds were in his favor to win $40; or $95; but still managed to get $0. ,{},0,0
He is disappointed because he did not win anything; but he was excited for a minute because he came so close to winning something. ,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'excited': [7.5, 7.67, ['excited'], 1]}",4.95,7.67
Dejected. He got the lowest probability spin. ,"{'neglected': [2.63, 4.83, ['dejected'], 1]}",2.63,4.83
Totally bummed out,"{'sad': [2.39, 4.78, ['bummed'], 1]}",2.39,4.78
I think Jacob is extremely dissapointed that he did not win anything; and landed on 0.  He had better chances of winning a higher amount; and he did not in the end.,{},0,0
Steve is quite disappointed. He had a 66% chance of winning a good amount of money; but his luck was bad.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'unfortunate': [2.0, 4.0, ['bad'], 1], 'happy': [7.47, 5.43, ['good'], 1]}",3.96,5.43
Frustrated and upset that he didn't win.,"{'annoying': [2.48, 5.61, ['frustrated'], 1], 'sad': [2.0, 5.86, ['upset'], 1]}",2.25,5.86
Josh is very upset and disappointed he won nothing.  The zero amount had the least likely odds so he's probably very surprised also.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'surprised': [8.47, 8.47, ['very surprised'], 1], 'sad': [1.0, 4.87, ['very upset'], 1]}",3.96,8.469999999999999
Eric is annoyed that he won $0. He is also disappointed that he lucked out on winning some extra cash. ,"{'annoying': [3.5, 4.74, ['annoyed'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.95,4.92
John is disappointed because he could have won $95; but won nothing.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Sad! Rage! Surprise! Chris can't believe that his luck is this rotten! $0; you gotta be kidding him...,"{'angry': [2.41, 8.17, ['rage'], 1], 'sad': [1.61, 4.13, ['sad'], 1]}",2.02,8.17
Bummer. He didn't win anything. Losing sucks. ,{},0,0
Severely disappointed.  Nothing is nothing no matter how you think about it; and it was also the least likely result to come up; so that would be severely disappointing for him.,"{'disappointed': [2.39, 4.92, ['disappointed', 'disappointing'], 2]}",2.39,4.92
Jake is sad because he had an equal chance to win either $95 or $40 with each of those two section being the same size and quite a bit larger than the smallest section;which his spin landed on and yielded $0.,"{'sad': [1.61, 4.13, ['sad'], 1]}",1.61,4.13
Bummer! Oh well; it was one in three!,{},0,0
He is very sad for not winning anything; he understood the odds were against him significantly which makes it more frustrating.,"{'annoying': [2.48, 5.61, ['frustrating'], 1], 'sad': [0.62, 3.13, ['very sad'], 1]}",1.55,5.61
James is probably very angry and disappointed to have won 0 dollars. He's probably especially mad since the arrow is so close to $40; and 0 has the smallest space on the wheel.,"{'angry': [2.15, 6.47, ['very angry', 'mad'], 2], 'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.23,6.76
I feel that the game is over. I feel that they shouldn't spin the wheel anymore. ,{},0,0
Tom is upset and sad. He had a good chance to win some money; but instead he got nothing.,"{'happy': [7.47, 5.43, ['good'], 1], 'sad': [1.81, 5.0, ['upset', 'sad'], 2]}",3.7,5.86
Meh,{},0,0
John is a bit upset with not winning anything.  He'll shrug it off but will probably not want to play again.,"{'sad': [2.0, 5.86, ['upset'], 1]}",2.0,5.86
Bob probably feels upset that he didn't win anything. He also may be frustrated that it was the prize with the lowest outcome and probability and he won it anyway. He must feel unlucky.,"{'annoying': [2.48, 5.61, ['frustrated'], 1], 'unfortunate': [2.0, 4.0, ['unlucky'], 1], 'sad': [2.0, 5.86, ['upset'], 1]}",2.16,5.86
Upset. Even a $40 win would've been better than this. :(,"{'sad': [2.0, 5.86, ['upset'], 1]}",2.0,5.86
UGHH...total disapointment. Didn't win anything and such a decent chance at something,"{'content': [6.06, 4.7, ['decent'], 1]}",6.06,4.7
Distraught; especially since the $0 section is the smallest.,{},0,0
Bummed out man! I hate that wheel; so he thinks anyway.,"{'hate': [2.12, 6.95, ['hate'], 1], 'sad': [2.39, 4.78, ['bummed'], 1]}",2.26,6.95
He is sad he didnt win anything. ,"{'sad': [1.61, 4.13, ['sad'], 1]}",1.61,4.13
George is very upset with the outcome. He believes he deserves to win some money.,"{'sad': [1.0, 4.87, ['very upset'], 1]}",1.0,4.86
very disappointed sad he did not win nothing he feel like hes bad luck,"{'disappointed': [1.39, 3.92, ['very disappointed'], 1], 'unfortunate': [5.25, 7.25, ['not bad'], 1], 'sad': [1.61, 4.13, ['sad'], 1]}",2.75,7.25
He is disappointed that he won nothing.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Happy!  Know I can buy a good meal today! I feel lucky!,"{'fortunate': [8.17, 6.53, ['lucky'], 1], 'happy': [7.84, 5.96, ['happy', 'good'], 2]}",7.95,6.53
He feels good because he had an equal chance to win nothing and maybe a little disappointed that he didn't win $95.,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'happy': [7.47, 5.43, ['good'], 1]}",5.43,5.92
I think he felt great!,"{'great': [8.5, 8.5, ['great'], 1]}",8.5,8.5
I'm sure he is glad that he won some money; seeing as there was a chance that he could have won nothing.,"{'fortunate': [7.09, 5.16, ['glad'], 1]}",7.09,5.16
Pretty happy that he didn't get 0$,"{'happy': [7.22, 5.49, ['a little happy'], 1]}",7.22,5.49
He probably expected it since the $40 position is so large; but he probably still felt a pang of fear that he might get nothing. ,{},0,0
I would think he would be happy just winning the amount of $40.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
He should feel pretty good. Again he has more then he did and at least he didn't hit 0.,"{'happy': [6.47, 4.43, ['a little good'], 1]}",6.47,4.43
well its better then nothing,{},0,0
Tom feels somewhat satisfied; but not super excited.  He won $40 and he had about a quarter chance of not winning anything at all.,"{'content': [6.94, 3.95, ['a little satisfied'], 1], 'great': [3.15, 0.15, ['not super'], 1], 'excited': [7.5, 7.67, ['excited'], 1]}",5.87,7.67
He felt extremely happy!,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Scott must be happy that he didn't win anything at all. The $0 \prize\ would have made him upset more than likely. I'm sure he would have preferred the $95 prize; though; but; as I said; he must be pleased that he won anything at all.,"{'sad': [2.0, 5.86, ['upset'], 1], 'happy': [8.11, 6.23, ['happy', 'pleased'], 2]}",6.08,6.49
He is disappointed he didnt win the most but satisfied he didnt win the least.,"{'content': [7.94, 4.95, ['satisfied'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 1]}",5.17,4.94
I think he feels relieved that he didn't get zero and slightly happy with his winnings.,"{'happy': [7.22, 5.49, ['a little happy'], 1], 'fortunate': [7.09, 5.16, ['relieved'], 1]}",7.15,5.49
Relieved that he didn't get 0 dollars. But probably bummed out that he didn't more than twice that amount that he won by landing on 95; but he's probably happy regardless about 40 dollars.,"{'happy': [8.22, 6.49, ['happy'], 1], 'sad': [2.39, 4.78, ['bummed'], 1], 'fortunate': [7.09, 5.16, ['relieved'], 1]}",5.9,6.49
Feels happy. There is a $0 on the board; so it is a lot of relief not to get 0.,"{'fortunate': [7.09, 5.16, ['relief'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",7.65,6.49
good!  He has $40; and is very glad he didn't land on $0.,"{'fortunate': [8.09, 6.16, ['very glad'], 1], 'happy': [7.47, 5.43, ['good'], 1]}",7.78,6.16
Josh is excited to win anything at all.  That $0 on the wheel was making him nervous.  Although the odds were equal at winning any amount; he's happy he won something.  It would have been nicer if he would have landed on $95.,"{'nervous': [3.29, 6.59, ['nervous'], 1], 'excited': [7.5, 7.67, ['excited'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",6.34,7.67
better that nothing,{},0,0
Tom should be excited.  He had the possibility of not winning any money; so winning $40 is great.,"{'great': [8.5, 8.5, ['great'], 1], 'excited': [7.5, 7.67, ['excited'], 1]}",8.0,8.5
George felt non surprised that he won the most common amount.,"{'surprised': [7.47, 7.47, ['surprised'], 1]}",7.47,7.47
He probably feels satisfied. He didn't win $95; but $40 is still much better than $0.,"{'content': [7.94, 4.95, ['satisfied'], 1]}",7.94,4.94
Pretty happy about it,"{'happy': [7.22, 5.49, ['a little happy'], 1]}",7.22,5.49
He is moderately happy because he is not surprised that he won the medium sized prize due to the ods being in his favor.,"{'surprised': [3.61, 3.61, ['not surprised'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.91,6.49
Not bad. It's better than 0; which he could have won. ,"{'unfortunate': [5.25, 7.25, ['not bad'], 1]}",5.25,7.25
Charlie is happy with winning $40 because he could have gotten $0.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
I would say he is relatively pleased.  The outcome could have been worse.  He did win when he could've gotten nothing.  I'm sure he would have rather have won $95; though.,"{'happy': [8.01, 5.97, ['pleased'], 1]}",8.01,5.97
Feeling great; wish it was grand prize though; but $0 would have been bad,"{'great': [8.5, 8.5, ['great'], 1], 'unfortunate': [2.0, 4.0, ['bad'], 1], 'fortunate': [7.09, 5.16, ['wish'], 1]}",5.87,8.5
Jacob feels good. He won some money; so with the chance to win $0 he has to be happy. ,"{'happy': [7.84, 5.96, ['good', 'happy'], 2]}",7.84,6.49
Neutral with a little relief.  It wasn't the big amount; but it wasn't zero either; and it was dangerously close to being that.  Also; the middle amount was the biggest spot; and; therefore; the most likely to land on; so it wasn't unexpected.,"{'content': [5.0, 4.7, ['neutral'], 1], 'fortunate': [6.09, 4.16, ['a little relief'], 1]}",5.55,4.7
I think Charlie feels lucky to win some money; but figured he would. He knew he held the highest chance of winning either amount of money and probably wishes it was the larger amount instead; yet the smaller amount of money has a slightly larger spot on the board. It probably turned out the way he predicted it would.,"{'fortunate': [7.63, 5.85, ['lucky', 'wishes'], 2]}",7.63,6.53
Mike has a good attitude. Mike figured that $40 is better than zero.,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
Jacob probably expected to spin $40 since that section of the wheel is greater than that of $95 and $0.,{},0,0
He feels relieved and very happy!!,"{'happy': [9.22, 7.49, ['very happy'], 1], 'fortunate': [7.09, 5.16, ['relieved'], 1]}",8.15,7.49
He was very happy since the odds were moderately against his favor.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
He feels great about winning the 95 because the lare 1/4 slice of 0$ winnings was a very real possibility; and the other option ; 40 isn't even half of what he won.  He had great luck in the spin; and won the best prize possible!,"{'great': [8.5, 8.5, ['great'], 2]}",8.5,8.5
Mike is very happy. He can really use the $95. This is the best possible outcome.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Bob won the highest amount and avoided landing on the $0 option; he is very happy.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Eric is probably elated that he won $95; seeing as it was the best possible outcome and there was a good chance he'd win less money or even nothing at all.,"{'excited': [7.45, 6.21, ['elated'], 1], 'happy': [7.47, 5.43, ['good'], 1]}",7.46,6.21
He feels excited and happy. Possibly surprised that he barely won the maximum amount. Probably feels relieved. Not disappointed or sad at all. ,"{'sad': [1.61, 4.13, ['sad'], 1], 'fortunate': [7.09, 5.16, ['relieved'], 1], 'disappointed': [5.14, 7.67, ['not disappointed'], 1], 'excited': [7.5, 7.67, ['excited'], 1], 'surprised': [7.47, 7.47, ['surprised'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",6.17,7.67
He's happy. He won the maximum amount. ,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
very good,"{'happy': [8.47, 6.43, ['very good'], 1]}",8.47,6.43
Extremely happy. Highest prize when there was a chance of winning nothing.  Middle prize had highest odds so he conquered the odds.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
very relieved. big difference between winning and losing in this game and chances of winning were high. ,"{'fortunate': [8.09, 6.16, ['very relieved'], 1]}",8.09,6.16
I feel he would be very happy because he could of won nothing if it was just a few inches over.  He won the most amount on the wheel that he could of won.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Mike is feeling amazing. Hit the jackpot,"{'great': [9.0, 6.0, ['amazing'], 1]}",9.0,6.0
really happy; he won the highest amount.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
The player will be extremely happy at the outcome; as it is the highest amount on the board.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Excellent! He thought he would get $40 so $95 was a nice surprise. ,"{'great': [9.0, 6.0, ['excellent'], 1]}",9.0,6.0
awesome he won the biggest amount,"{'great': [9.0, 6.0, ['awesome'], 1]}",9.0,6.0
He is excited he won the most.,"{'excited': [7.5, 7.67, ['excited'], 1]}",7.5,7.67
He would feel like jumping up and down!,"{'excited': [8.66, 6.92, ['jumping'], 1], 'sad': [2.13, 5.07, ['down'], 1]}",5.4,6.92
He probably didn't feel that good. This is the lowest possible amount he could have won.,"{'happy': [3.61, 1.57, ['not good'], 1]}",3.61,1.569
Probably pretty excited that he won; but he may be disappointed that he didn't get the $50 or the $75. That's what I normally see on game shows.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'excited': [6.5, 6.67, ['a little excited'], 1]}",4.45,6.67
I think he feels okay.  Maybe a little disappointed that he didn't get \lucky;\ but he knew that $10 was the most likely outcome.,"{'content': [6.06, 4.7, ['okay'], 1], 'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'fortunate': [3.4, 1.76, ['not lucky'], 1]}",4.29,5.92
George probably feels like this was going to happen. He may have had his hopes up for the bigger prizes; but the $10 prize had a much bigger probability of happening.,{},0,0
Eric was more or less expecting to win $10; so he is happy with the result but longs for another chance to spin and earn more.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
He is content he won the smallest about but he had a larger probability to get that amount.,"{'content': [7.06, 4.7, ['content'], 1]}",7.06,4.7
He's disappointed but not surprised. He didn't expect to make 75 dollars; He hoped for at least 50; tho.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'surprised': [3.61, 3.61, ['not surprised'], 1]}",3.0,4.92
not too happy.  knowing that more than half of your chances means that you win something isn't too bad.  granted; his chances of winning 50 or 75 weren't too bad either.  but he's not walking away empty handed; so he's not too happy; but not sad or mad; i guess just kinda happy.  somewhere in the middle.,"{'angry': [2.44, 6.76, ['mad'], 1], 'sad': [5.37, 7.89, ['not sad'], 1], 'unfortunate': [2.63, 4.63, ['not very bad', 'very bad'], 2], 'happy': [5.67, 3.95, ['not very happy', 'happy'], 3]}",4.3,7.887
He is probably very unhappy because of the fact that the spinner stopped VERY CLOSE to the 75 dollars section. Seriously; he must be upset and unhappy.,"{'unhappy': [1.07, 3.68, ['very unhappy', 'unhappy'], 2], 'sad': [2.0, 5.86, ['upset'], 1]}",1.38,5.86
I think he was really hoping for the $50 or $75; but he probably expected to win the $10 since the portion is so large.,"{'inspired': [8.1, 6.78, ['very hoping'], 1]}",8.1,6.78
he probably feels pretty sad. the $10 is the lowest amount. He'd probably feel cheated.,"{'unfortunate': [2.0, 4.0, ['cheated'], 1], 'sad': [2.62, 5.13, ['a little sad'], 1]}",2.31,5.13
Josh was probably disappointed but not all together surprised.  It had the greatest odds but the prize is way lower than the other two.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'surprised': [3.61, 3.61, ['not surprised'], 1]}",3.0,4.92
He feels a bit let down. But he knew that $10 was most likely what he was going to win because it's the largest sized; so he's not surprised.,"{'surprised': [3.61, 3.61, ['not surprised'], 1], 'sad': [2.13, 5.07, ['down'], 1]}",2.87,5.07
Charlie is likely upset; as he won the lowest amount possible.,"{'sad': [2.0, 5.86, ['upset'], 1]}",2.0,5.86
Bob most likely expected to spin $10; but was hoping for $50 or $75. The chance of spinning $10; however; was much greater.,"{'inspired': [7.1, 5.78, ['hoping'], 1]}",7.1,5.78
Tom is disappointed he didn't win more.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
He is dissapointedt but not surprised to have won the smallest prize,"{'surprised': [3.61, 3.61, ['not surprised'], 1]}",3.61,3.609
mad it wasnt bigger but expecting it,"{'angry': [2.44, 6.76, ['mad'], 1]}",2.44,6.76
He feels okay; since he predicted he would probably win 10 dollars.,"{'content': [6.06, 4.7, ['okay'], 1]}",6.06,4.7
Eric should not be surprised at winning the lowest.  Over half the wheel was the lowest amount.  At least its probably more than what he had prior to playing so he should be happy.,"{'surprised': [3.61, 3.61, ['not surprised'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.91,6.49
Mike is very disappointed he did not win more then just 10 dollars\n,"{'disappointed': [1.39, 3.92, ['very disappointed'], 1]}",1.39,3.92
He feels kind of bad. The other prizes were so much larger than $10 that he cannot help himself but be disappointed. ,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'unfortunate': [3.0, 5.0, ['a little bad'], 1]}",2.7,5.0
Josh is displeased; but he understands the outcome. He had a very high chance of only winning $10.,"{'unhappy': [2.79, 5.64, ['displeased'], 1]}",2.79,5.64
Jacob got gyped!  He got the smallest prize and is feeling pretty angry; it was easy to make $10 but he was hoping to get the big jackpot.  He's probably regretting his spin and wishing he could do it all over again.,"{'angry': [3.85, 8.17, ['a little angry'], 1], 'inspired': [7.1, 5.78, ['hoping'], 1]}",5.48,8.17
Eric is disappointed; but not too unhappy. It would have been nice to have a higher amount; but the odds were against him and he feels that $10 is better than nothing.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'unhappy': [4.38, 6.99, ['not very unhappy'], 1]}",3.39,6.988999999999999
Alex is probably sad and frustrated that he got a wheel with a very high chance of getting little money.,"{'annoying': [2.48, 5.61, ['frustrated'], 1], 'sad': [1.61, 4.13, ['sad'], 1]}",2.05,5.61
pretty good.  he had slightly larger chance of winning the 50 vs the 75; but his chances of winning 10 were huge; so beating those odds made him happy.,"{'happy': [7.34, 5.46, ['a little good', 'happy'], 2]}",7.34,6.49
Bob probably feels pretty good as more than half the wheel was for the $10 amount; so getting five times that amount with only about a quarter chance of winning that much would make him happy.,"{'happy': [7.34, 5.46, ['a little good', 'happy'], 2]}",7.34,6.49
I think he felt very happy. There's a extremely large chance of only winning $10; but he won more than that anyway.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Jake is very happy. Jake has a smile across his face; he is excited for the next spin.,"{'excited': [7.5, 7.67, ['excited'], 1], 'happy': [9.22, 7.49, ['very happy'], 1]}",8.36,7.67
Tom still feels pretty lucky; since there was like a 60% chance he'd only earn $10. He probably hopes his odds don't keep going down at this rate.,"{'sad': [2.13, 5.07, ['down'], 1], 'fortunate': [7.17, 5.53, ['a little lucky'], 1]}",4.66,5.53
Pretty good; he won some money but not the highest.,"{'happy': [6.47, 4.43, ['a little good'], 1]}",6.47,4.43
George is sure to be happy. He could have easily won $10. Instead he got 5 times that amount with a smaller chance.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Bob feels great about winning $50.  He knew his chances of winning $10 was much higher than landing on $50.,"{'great': [8.5, 8.5, ['great'], 1]}",8.5,8.5
Jacob probably feels pretty good with his results. He didn't get the least amount of money which was attached to the largest part of the pie (wheel) but received the middle amount which isn't terrible. ,"{'unhappy': [5.28, 9.62, ['not terrible'], 1], 'happy': [6.47, 4.43, ['a little good'], 1]}",5.88,9.611
James should be happy with the outcome.  He had about a 60% chance of winning only $10; so winning $50 should be a relief.,"{'fortunate': [7.09, 5.16, ['relief'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",7.65,6.49
Happy because he won the middle amount on the wheel.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
